GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Phase_01_Full_Text_Search,default,Main,103,0,6,0,30,0,7,0,4,0
Phase_01_Full_Text_Search,full_text_search,Categories,100,0,11,0,22,0,11,0,5,0
Phase_01_Full_Text_Search,full_text_search,OccurrenceComparator,9,0,0,0,2,0,2,0,2,0
Phase_01_Full_Text_Search,full_text_search,InvertedIndex,58,85,5,7,11,17,6,7,3,4
Phase_01_Full_Text_Search,full_text_search,FullTextSearch.FullTextSearchBuilder,27,0,0,0,1,0,5,0,5,0
Phase_01_Full_Text_Search,full_text_search,InputGroups,17,110,6,13,3,24,4,12,1,5
Phase_01_Full_Text_Search,full_text_search,Occurrence,38,9,2,0,8,2,7,2,6,2
Phase_01_Full_Text_Search,full_text_search,FullTextSearch,308,0,16,0,64,0,20,0,12,0
Phase_01_Full_Text_Search,word_manipulation.tokenization,EdgeNgramTokenizer,2,114,1,11,1,15,2,7,1,2
Phase_01_Full_Text_Search,word_manipulation.tokenization,MarksTokenizer,2,51,0,4,1,8,1,4,1,2
Phase_01_Full_Text_Search,word_manipulation.tokenization,StringTokenizer,0,53,0,4,0,7,0,4,0,2
Phase_01_Full_Text_Search,logics,SetLogic,7,44,1,1,2,10,2,3,1,3
Phase_01_Full_Text_Search,unit_test,NormalizationTest,0,81,0,0,0,25,0,4,0,4
Phase_01_Full_Text_Search,unit_test,InvertedIndexTest,0,335,0,0,0,54,0,10,0,10
Phase_01_Full_Text_Search,unit_test,StopWordTest,0,37,0,0,0,11,0,3,0,3
Phase_01_Full_Text_Search,unit_test,TokenizationTest,0,191,0,0,0,41,0,5,0,5
Phase_01_Full_Text_Search,unit_test,InputGroupsTest,35,402,7,17,11,84,9,24,3,12
Phase_01_Full_Text_Search,unit_test,SetLogicTest,0,308,0,0,0,23,0,4,0,4
Phase_01_Full_Text_Search,word_manipulation.normalization,RemoveMarksAndUpperCaseNormalizer,0,19,0,0,0,5,0,2,0,2
Phase_01_Full_Text_Search,word_manipulation.normalization,UpperCaseNormalization,6,0,0,0,2,0,2,0,2,0
Phase_01_Full_Text_Search,word_manipulation.normalization,UpperCaseNormalizer,0,6,0,0,0,2,0,2,0,2
Phase_01_Full_Text_Search,word_manipulation.normalization,RemoveMarksAndUpperCaseNormalization,19,0,0,0,5,0,2,0,2,0
Phase_01_Full_Text_Search,word_manipulation.normalization,RemoveMarksNormalizer,0,10,0,0,0,3,0,2,0,2
Phase_01_Full_Text_Search,word_manipulation.normalization,RemoveMarksNormalization,10,0,0,0,3,0,2,0,2,0
Phase_01_Full_Text_Search,file_reader,Document,36,0,4,0,5,0,7,0,5,0
Phase_01_Full_Text_Search,file_reader,FileReader,98,0,6,0,19,0,10,0,7,0
Phase_01_Full_Text_Search,file_reader,TxtFileReader,42,0,0,0,8,0,2,0,2,0
Phase_01_Full_Text_Search,word_manipulation,StopWords,3,530,0,0,1,2,1,2,1,2
